EG501,EG502,EG503,EG504,EG505,EG506,EG507,EG508,EG509,EG510,EG511,EG512,EG513,EG514,EG515,EG516,EG517,EG518,EG519,EG520,EG521,EG522,EG523,EG524,EG525,EG526,EG527,EG528,EG529,EG530,EG531,EG532,EG533,EG534,EG535,EG536,EG537,EG538,EG539,EG540,EG541,EG542,EG543,EG544,EG545,EG546,EG547,Species,full_tax
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,291,0,0,0,0,0,0,0,0,0,0,Cryptacanthodes maculatus,Chordata_7711;Actinopteri_186623;Perciformes_8111;Cryptacanthodidae_30888;Cryptacanthodes_433378;Cryptacanthodes_maculatus_1266866
0,211,159,325,117,16,27,7,0,25,1918,1019,0,10,137,61,116,41,123,588,2,0,291,5,15,0,1,0,3,0,9,9,178,0,0,0,0,55,105,10,29,18,0,4,5,0,0,Bacteria uncultured,Bacteria_;Bacteria_;Bacteria_;Bacteria_;Bacteria_;Uncultured_bacterium_AB807043.1
0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0,515,0,1028,2401,424,429,142,171,250,0,79,479,0,2533,833,3331,6376,4594,5722,4899,4759,6389,0,0,0,0,0,Glyptocephalus cynoglossus,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Glyptocephalus_34818;Glyptocephalus_cynoglossus_34819
0,0,6,28,0,0,23,0,0,4037,1,79,0,0,2,845,16,0,0,0,0,0,0,0,56,0,0,0,316,0,0,269,0,0,0,0,0,0,112,0,0,9,0,38,0,0,0,Eriocheir sp,Arthropoda_6656;Malacostraca_6681;Decapoda_6683;Varunidae_72876;Eriocheir_95601;Eriocheir_95601_sp
0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,3540,0,0,0,0,590,0,1,0,624,392,398,400,1569,0,213,0,0,1045,156,48,1873,20277,12239,6391,4521,7938,0,0,0,0,50,Urophycis tenuis,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Phycidae_163113;Urophycis_183655;Urophycis_tenuis_183657
0,18,0,1663,0,0,0,0,0,0,0,0,0,0,0,2606,0,0,5324,0,0,0,0,0,0,90,100,120,2547,0,342,62,2860,0,0,0,0,0,0,0,103,0,0,0,0,0,0,Melanogrammus aeglefinus,Chordata_7711;Actinopteri_186623;Gadiformes_8043;Gadidae_8045;Melanogrammus_8055;Melanogrammus_aeglefinus_8056
0,74,107,1968,1211,0,1491,684,83,69,72,52,0,0,0,256,27,61,4,49,340,45,279,746,127,0,0,0,128,0,31,86,0,0,0,0,1792,0,10,0,0,0,0,2137,0,0,2058,Malacostraca sp,Arthropoda_6656;Malacostraca_6681;Decapoda_6683;NA;NA;NA
22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48,1,0,0,0,243,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Homo sapiens,Chordata_7711;Mammalia_40674;Primates_9443;Hominidae_9604;Homo_9605;Homo_sapiens_9606
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6166,0,0,0,0,0,0,0,0,0,0,0,0,0,889,2091,1102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Scomber scombrus,Chordata_7711;Actinopteri_186623;Scombriformes_1489894;Scombridae_8224;Scomber_13675;Scomber_scombrus_13677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,744,9425,4722,3325,1527,1,903,251,373,310,0,0,9757,13489,10545,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Pseudopleuronectes americanus,Chordata_7711;Actinopteri_186623;Pleuronectiformes_8252;Pleuronectidae_8256;Pseudopleuronectes_8264;Pseudopleuronectes_americanus_8265
0,84,0,40,0,0,0,13,0,53,0,7,0,13,9,0,0,15,596,33,280,69,0,376,9,6,18,0,0,0,10,565,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Skeletonema costatum,Bacillariophyta_2836;Coscinodiscophyceae_33836;Thalassiosirales_33847;Skeletonemataceae_33848;Skeletonema_2842;Skeletonema_costatum_2843
0,0,0,212,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Zostera sp,Streptophyta_35493;Magnoliopsida_3398;Alismatales_16360;Zosteraceae_27254;Zostera_27257;Zostera_27257_sp
0,0,0,5,6,0,0,0,0,24,194,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peziza vesiculosa,Ascomycota_4890;Pezizomycetes_147549;Pezizales_5185;Pezizaceae_5186;Peziza_40593;Peziza_vesiculosa_47203
0,74,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coscinodiscus sp,Bacillariophyta_2836;Coscinodiscophyceae_33836;Coscinodiscales_216785;Coscinodiscaceae_38747;Coscinodiscus_33641;Coscinodiscus_33641_sp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1468,0,Leucoraja erinacea,Chordata_7711;Chondrichthyes_7777;Rajiformes_7858;Rajidae_30475;Leucoraja_117861;Leucoraja_ocellata_173042
0,0,0,0,0,0,10,0,0,17,0,85,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0,0,0,Streptophyta sp,Streptophyta_35493;NA;NA;NA;NA;NA
