Model Formula,Estimate,Standard Error,Z-value,P-value (Pr(>|z|),Degrees of Freedom,Akaike Information Criterion (AIC)
Trawl abundance ~ Intercept,0.53007,0.14129,3.752,0.000176,28,469.4
Trawl abundance ~ Intercept + MiFish,0.06784,0.00342,19.837,< 2x10⁻¹⁶,27,157.9
