Model Formula,Estimate,Standard Error,Z-value,P-value (Pr(>|z|),Degrees of Freedom,Akaike Information Criterion (AIC)
Trawl abundance ~ Intercept,0.55668,0.61417,0.906,0.365,2,13.9
Trawl abundance ~ Intercept + Ceph18s,0.01613,0.01125,1.434,0.152,1,13.7
